Age_yearBP,d18O,,,,,
38,-50.11,,,,,
47,-49.39,,,,,
55,-48.48,,,,,
64,-50.51,,,,,
73,-51.09,,,,,
82,-50.74,,,,,
91,-50.74,,,,,
100,-51.16,,,,,
110,-50.18,,,,,
119,-51.19,,,,,
129,-51.61,,,,,
140,-50.49,,,,,
150,-51.08,,,,,
161,-49.98,,,,,
171,-50.56,,,,,
181,-51.31,,,,,
191,-51.70,,,,,
202,-50.39,,,,,
212,-52.61,,,,,
223,-50.45,,,,,
234,-50.14,,,,,
245,-50.24,,,,,
255,-50.79,,,,,
267,-50.88,,,,,
278,-51.84,,,,,
289,-51.03,,,,,
301,-50.65,,,,,
312,-51.69,,,,,
324,-51.08,,,,,
336,-51.21,,,,,
347,-50.75,,,,,
359,-51.28,,,,,
371,-51.45,,,,,
383,-51.93,,,,,
395,-51.13,,,,,
407,-50.86,,,,,
419,-50.61,,,,,
430,-52.08,,,,,
442,-50.65,,,,,
454,-50.66,,,,,
466,-51.19,,,,,
478,-51.38,,,,,
490,-50.45,,,,,
503,-52.55,,,,,
516,-51.41,,,,,
529,-51.04,,,,,
542,-49.81,,,,,
555,-50.24,,,,,
568,-51.35,,,,,
581,-49.71,,,,,
594,-51.43,,,,,
606,-51.38,,,,,
619,-49.66,,,,,
632,-50.03,,,,,
645,-50.56,,,,,
658,-51.49,,,,,
672,-51.23,,,,,
687,-51.24,,,,,
701,-51.14,,,,,
715,-51.49,,,,,
729,-51.85,,,,,
744,-51.45,,,,,
759,-50.84,,,,,
772,-50.89,,,,,
786,-50.53,,,,,
799,-50.74,,,,,
812,-50.34,,,,,
825,-50.05,,,,,
837,-49.88,,,,,
849,-49.63,,,,,
862,-51.54,,,,,
875,-50.31,,,,,
889,-51.83,,,,,
903,-50.06,,,,,
917,-51.54,,,,,
932,-51.26,,,,,
947,-51.18,,,,,
961,-51.33,,,,,
976,-50.48,,,,,
990,-51.06,,,,,
1005,-51.09,,,,,
1019,-51.48,,,,,
1032,-50.65,,,,,
1047,-50.01,,,,,
1061,-50.49,,,,,
1075,-51.33,,,,,
1089,-51.36,,,,,
1104,-50.21,,,,,
1118,-51.16,,,,,
1133,-49.59,,,,,
1147,-51.44,,,,,
1161,-51.01,,,,,
1174,-50.05,,,,,
1188,-49.98,,,,,
1201,-50.09,,,,,
1215,-51.16,,,,,
1229,-50.31,,,,,
1244,-50.48,,,,,
1258,-50.55,,,,,
1273,-50.88,,,,,
1287,-50.98,,,,,
1302,-49.83,,,,,
1316,-50.59,,,,,
1330,-50.08,,,,,
1345,-50.88,,,,,
1359,-49.58,,,,,
1373,-50.08,,,,,
1387,-50.88,,,,,
1401,-50.76,,,,,
1416,-51.11,,,,,
1432,-51.28,,,,,
1448,-51.09,,,,,
1463,-49.96,,,,,
1479,-51.45,,,,,
1494,-50.99,,,,,
1510,-51.15,,,,,
1525,-50.95,,,,,
1541,-50.06,,,,,
1556,-51.44,,,,,
1572,-50.71,,,,,
1588,-50.56,,,,,
1604,-51.61,,,,,
1621,-51.38,,,,,
1637,-50.19,,,,,
1654,-51.68,,,,,
1670,-50.43,,,,,
1686,-50.48,,,,,
1702,-51.35,,,,,
1720,-51.16,,,,,
1737,-50.83,,,,,
1754,-50.66,,,,,
1771,-50.33,,,,,
1787,-51.80,,,,,
1804,-50.55,,,,,
1822,-51.53,,,,,
1839,-51.49,,,,,
1856,-50.48,,,,,
1873,-51.54,,,,,
1889,-49.39,,,,,
1905,-50.74,,,,,
1922,-50.73,,,,,
1938,-51.03,,,,,
1956,-50.60,,,,,
1973,-50.96,,,,,
1990,-51.29,,,,,
2007,-51.55,,,,,
2025,-50.75,,,,,
2044,-51.43,,,,,
2061,-49.51,,,,,
2078,-51.26,,,,,
2095,-51.29,,,,,
2113,-50.40,,,,,
2130,-51.21,,,,,
2147,-50.99,,,,,
2165,-51.50,,,,,
2184,-51.09,,,,,
2202,-51.08,,,,,
2237,-50.08,,,,,
