"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00027502","BARROW AIRPORT, AK US","1902-01-01",,"-29","-36",
"USW00027502","BARROW AIRPORT, AK US","1902-01-02",,"-27","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-01-03",,"-30","-33",
"USW00027502","BARROW AIRPORT, AK US","1902-01-04",,"-33","-43",
"USW00027502","BARROW AIRPORT, AK US","1902-01-05",,"-39","-49",
"USW00027502","BARROW AIRPORT, AK US","1902-01-06",,"-34","-49",
"USW00027502","BARROW AIRPORT, AK US","1902-01-07",,"-34","-41",
"USW00027502","BARROW AIRPORT, AK US","1902-01-08",,"-26","-43",
"USW00027502","BARROW AIRPORT, AK US","1902-01-09",,"-34","-48",
"USW00027502","BARROW AIRPORT, AK US","1902-01-10",,"-31","-35",
"USW00027502","BARROW AIRPORT, AK US","1902-01-11",,"28","-37",
"USW00027502","BARROW AIRPORT, AK US","1902-01-12",,"25","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-01-13",,"-27","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-01-14",,"-23","-27",
"USW00027502","BARROW AIRPORT, AK US","1902-01-15",,"-15","-23",
"USW00027502","BARROW AIRPORT, AK US","1902-01-16",,"-18","-28",
"USW00027502","BARROW AIRPORT, AK US","1902-01-17",,"-27","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-01-18",,"-30","-38",
"USW00027502","BARROW AIRPORT, AK US","1902-01-19",,"-28","-38",
"USW00027502","BARROW AIRPORT, AK US","1902-01-20",,"-35","-37",
"USW00027502","BARROW AIRPORT, AK US","1902-01-21",,"-36","-48",
"USW00027502","BARROW AIRPORT, AK US","1902-01-22",,"-29","-37",
"USW00027502","BARROW AIRPORT, AK US","1902-01-23",,"-1","-29",
"USW00027502","BARROW AIRPORT, AK US","1902-01-24",,"2","-2",
"USW00027502","BARROW AIRPORT, AK US","1902-01-25",,"7","0",
"USW00027502","BARROW AIRPORT, AK US","1902-01-26",,"7","0",
"USW00027502","BARROW AIRPORT, AK US","1902-01-27",,"10","-1",
"USW00027502","BARROW AIRPORT, AK US","1902-01-28",,"18","8",
"USW00027502","BARROW AIRPORT, AK US","1902-01-29",,"10","3",
"USW00027502","BARROW AIRPORT, AK US","1902-01-30",,"-1","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-01-31",,"-1","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-02-01",,"-15","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-02-02",,"-10","-19",
"USW00027502","BARROW AIRPORT, AK US","1902-02-03",,"-19","-24",
"USW00027502","BARROW AIRPORT, AK US","1902-02-04",,"-18","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-02-05",,"-8","-18",
"USW00027502","BARROW AIRPORT, AK US","1902-02-06",,"-10","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-02-07",,"-4","-15",
"USW00027502","BARROW AIRPORT, AK US","1902-02-08",,"-4","-9",
"USW00027502","BARROW AIRPORT, AK US","1902-02-09",,"-4","-9",
"USW00027502","BARROW AIRPORT, AK US","1902-02-10",,"-6","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-02-11",,"-9","-12",
"USW00027502","BARROW AIRPORT, AK US","1902-02-12",,"-11","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-02-13",,"20","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-02-14",,"15","-2",
"USW00027502","BARROW AIRPORT, AK US","1902-02-15",,"11","2",
"USW00027502","BARROW AIRPORT, AK US","1902-02-16",,"9","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-02-17",,"2","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-02-18",,"1","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-02-19",,"5","-3",
"USW00027502","BARROW AIRPORT, AK US","1902-02-20",,"6","2",
"USW00027502","BARROW AIRPORT, AK US","1902-02-21",,"5","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-02-22",,"5","-5",
"USW00027502","BARROW AIRPORT, AK US","1902-02-23",,"5","-4",
"USW00027502","BARROW AIRPORT, AK US","1902-02-24",,"5","1",
"USW00027502","BARROW AIRPORT, AK US","1902-02-25",,"7","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-02-26",,"-11","-13",
"USW00027502","BARROW AIRPORT, AK US","1902-02-27",,"-13","-17",
"USW00027502","BARROW AIRPORT, AK US","1902-02-28",,"-12","-18",
"USW00027502","BARROW AIRPORT, AK US","1902-03-01",,"-14","-20",
"USW00027502","BARROW AIRPORT, AK US","1902-03-02",,"-14","-21",
"USW00027502","BARROW AIRPORT, AK US","1902-03-03",,"-16","-27",
"USW00027502","BARROW AIRPORT, AK US","1902-03-04",,"-16","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-03-05",,"-9","-23",
"USW00027502","BARROW AIRPORT, AK US","1902-03-06",,"-15","-23",
"USW00027502","BARROW AIRPORT, AK US","1902-03-07",,"-17","-30",
"USW00027502","BARROW AIRPORT, AK US","1902-03-08",,"-8","-24",
"USW00027502","BARROW AIRPORT, AK US","1902-03-09",,"-14","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-03-10",,"-17","-22",
"USW00027502","BARROW AIRPORT, AK US","1902-03-11",,"-16","-26",
"USW00027502","BARROW AIRPORT, AK US","1902-03-12",,"-19","-28",
"USW00027502","BARROW AIRPORT, AK US","1902-03-13",,"-22","-28",
"USW00027502","BARROW AIRPORT, AK US","1902-03-14",,"-25","-31",
"USW00027502","BARROW AIRPORT, AK US","1902-03-15",,"-20","-28",
